# x [m]            px [betax gamma] y [m]            py [betay gamma] t [s]            pz [betaz gamma] Bin Number       
 -1.089549419e-03 -4.861745084e-04 -1.882883941e-03 -2.238409865e-05 -5.169237233e-14  1.384117322e-03                1
 -1.993070871e-03 -5.236473760e-04 -9.361041043e-04 -9.525933554e-04 -1.206286849e-13  9.853967655e-04                1
 -1.410137476e-03 -7.807820548e-04  8.108874467e-04 -1.209595306e-03 -1.227282744e-13  2.826765635e-04                1
  1.978524271e-03 -2.176946964e-04 -9.223283461e-04  1.447336829e-03 -1.620815108e-13  1.023356349e-04                1
  4.400573754e-04 -5.215747782e-04 -1.748551662e-03  7.553743021e-04 -1.782296537e-13  1.144559686e-03                1
  1.806690434e-03  3.214569544e-04 -6.984783023e-04  1.050204267e-03 -1.857681245e-13  9.728226375e-04                1
  1.337701131e-03 -2.574153138e-04 -1.344037340e-03 -8.963428566e-05 -1.711291213e-13  1.441648540e-03                1
  1.994353117e-03 -1.904243966e-04  6.571919834e-04  6.614466363e-04 -1.949684971e-13  1.295713841e-03                1
  1.571631927e-04 -1.284782589e-03 -1.394811642e-03  3.693858330e-04 -1.999202800e-13  6.045951259e-04                1
 -8.283557265e-04  9.853373605e-05  1.210245838e-03 -1.756096682e-05 -1.891445185e-13  1.463772583e-03                1
  7.639323298e-04  1.173678235e-03  4.965545317e-04  5.962310309e-04 -2.274711851e-13  6.477927280e-04                1
  1.236558594e-03 -6.455689180e-04  3.744378401e-04  1.306963631e-03 -2.086447886e-13  1.665361838e-04                1
  1.040807951e-03 -1.301305990e-03  1.763355232e-03 -9.237220612e-05 -2.060719425e-13  6.713550153e-04                1
  1.816941049e-03 -7.352950066e-04 -7.851798950e-04 -1.519332871e-04 -2.107748073e-13  1.260517747e-03                1
  9.953485068e-05  1.055937015e-03  1.094520915e-03  8.589229560e-04 -2.298744403e-13  5.476274616e-04                1
  4.336955556e-04  8.961098494e-04 -3.715573583e-05  6.715279262e-04 -2.189999151e-13  9.479898958e-04                1
  4.318995146e-04  9.770472592e-04 -3.295136813e-04  7.932432224e-04 -2.207864310e-13  7.541825402e-04                1
  1.200348084e-04  1.458439460e-03 -6.295321908e-05 -7.473479544e-05 -2.302061738e-13  1.414797272e-04                1
  3.467213259e-04 -4.835835518e-04 -9.595946552e-04  4.233828236e-04 -2.075844577e-13  1.318916750e-03                1
  1.265920246e-04  1.193707372e-04  2.057050736e-03 -1.244378016e-03 -2.153432238e-13  7.680634347e-04                1
  3.006830200e-04 -1.367174086e-03  2.357020489e-04  5.294587563e-04 -2.124740560e-13  5.617742512e-05                1
 -3.902007381e-04 -7.964978211e-04  1.589846593e-03 -2.793328256e-04 -2.274135909e-13  1.200088269e-03                1
 -1.189725678e-03  3.680296738e-04  1.076855746e-03 -2.975398079e-04 -2.311991227e-13  1.388766245e-03                1
  4.718859851e-04 -1.163529919e-03 -6.896174558e-04  3.498267612e-04 -2.433817951e-13  8.224760333e-04                1
  1.654618327e-03  6.706754644e-05  6.849421514e-04  1.179548750e-03 -2.674174606e-13  8.699506600e-04                1
 -1.467542655e-04  8.890025770e-04 -8.206116165e-04  3.554966902e-04 -2.459394765e-13  1.111730175e-03                1
 -1.534647811e-03  3.737392716e-04  2.585513608e-04 -2.885986724e-04 -2.442732424e-13  1.389128224e-03                1
  9.530374688e-05 -1.324929696e-03 -2.050355872e-03  6.296243299e-04 -2.547286438e-13  2.796363218e-05                1
 -1.613596292e-04  2.815481055e-04  1.339463625e-03  6.915156135e-04 -2.408705063e-13  1.263006050e-03                1
