#            1 - s            2 - Rx            3 - Ry            4 - Rz            5 - Px            6 - Py            7 - Pz           8 - Efx           9 - Efy          10 - Efz          11 - Bfx          12 - Bfy          13 - Bfz         14 - Ekin            15 - t
       0.071901017                 0                 0       0.071901017                 0                 0         4.3213184                 0                 0         2927113.1                 0                 0      -0.066454535         1.7555445             0.295	GUN, SOLB, SOLF, SOLM, 
       0.074821164                 0                 0       0.074821164                 0                 0         4.3041457                 0                 0         2748487.2                 0                 0      -0.065958717         1.7469961             0.305	GUN, SOLB, SOLF, SOLM, 
       0.077740748                 0                 0       0.077740748                 0                 0         4.2880209                 0                 0         1778257.2                 0                 0      -0.065291563         1.7389709             0.315	GUN, SOLB, SOLF, SOLM, 
       0.080659963                 0                 0       0.080659963                 0                 0         4.2775882                 0                 0         123401.19                 0                 0      -0.064447952         1.7337794             0.325	GUN, SOLB, SOLF, SOLM, 
       0.083579154                 0                 0       0.083579154                 0                 0         4.2768642                 0                 0        -2085650.9                 0                 0      -0.063461069         1.7334192             0.335	GUN, SOLB, SOLF, SOLM, 
       0.086498775                 0                 0       0.086498775                 0                 0         4.2891003                 0                 0        -4714279.9                 0                 0      -0.062341605          1.739508             0.345	GUN, SOLB, SOLF, SOLM, 
       0.089419358                 0                 0       0.089419358                 0                 0          4.316758                 0                 0        -7635379.6                 0                 0        -0.0611097         1.7532742             0.355	GUN, SOLB, SOLF, SOLM, 
       0.092341463                 0                 0       0.092341463                 0                 0         4.3615532                 0                 0         -10736333                 0                 0      -0.059785093         1.7755798             0.365	GUN, SOLB, SOLF, SOLM, 
       0.095265632                 0                 0       0.095265632                 0                 0          4.424541                 0                 0         -13921363                 0                 0      -0.058379964         1.8069637             0.375	GUN, SOLB, SOLF, SOLM, 
       0.098192357                 0                 0       0.098192357                 0                 0         4.5062148                 0                 0         -17110936                 0                 0      -0.056917111           1.84769             0.385	GUN, SOLB, SOLF, SOLM, 
        0.10112205                 0                 0        0.10112205                 0                 0         4.6066011                 0                 0         -20238568                 0                 0      -0.055405604         1.8977947             0.395	GUN, SOLB, SOLF, SOLM, 
        0.10405501                 0                 0        0.10405501                 0                 0         4.7253366                 0                 0         -23252816                 0                 0      -0.053866066          1.957121             0.405	GUN, SOLB, SOLF, SOLM, 
        0.10699147                 0                 0        0.10699147                 0                 0          4.861756                 0                 0         -26107850                 0                 0      -0.052308464         2.0253618             0.415	GUN, SOLB, SOLF, SOLM, 
        0.10993151                 0                 0        0.10993151                 0                 0         5.0149253                 0                 0         -28766067                 0                 0      -0.050747661         2.1020738             0.425	GUN, SOLB, SOLF, SOLM, 
        0.11287516                 0                 0        0.11287516                 0                 0         5.1836899                 0                 0         -31195250                 0                 0      -0.049196762            2.1867             0.435	GUN, SOLB, SOLF, SOLM, 
        0.11582236                 0                 0        0.11582236                 0                 0         5.3667059                 0                 0         -33367277                 0                 0      -0.047664073         2.2785842             0.445	GUN, SOLB, SOLF, SOLM, 
        0.11877298                 0                 0        0.11877298                 0                 0         5.5624648                 0                 0         -35257138                 0                 0      -0.046164318         2.3769822             0.455	GUN, SOLB, SOLF, SOLM, 
        0.12172686                 0                 0        0.12172686                 0                 0         5.7693111                 0                 0         -36842186                 0                 0      -0.044701917         2.4810712             0.465	GUN, SOLB, SOLF, SOLM, 
         0.1246838                 0                 0         0.1246838                 0                 0         5.9854565                 0                 0         -38101556                 0                 0      -0.043291027          2.589956             0.475	GUN, SOLB, SOLF, SOLM, 
        0.12764358                 0                 0        0.12764358                 0                 0         6.2089904                 0                 0         -39015700                 0                 0      -0.041934527         2.7026751             0.485	GUN, SOLB, SOLF, SOLM, 
        0.13060598                 0                 0        0.13060598                 0                 0         6.4378874                 0                 0         -39566038                 0                 0      -0.040644814         2.8182051             0.495	GUN, SOLB, SOLF, SOLM, 
        0.13357077                 0                 0        0.13357077                 0                 0         6.6700131                 0                 0         -39734744                 0                 0      -0.039425002         2.9354636             0.505	GUN, SOLB, SOLF, SOLM, 
        0.13653773                 0                 0        0.13653773                 0                 0         6.9031286                 0                 0         -39504735                 0                 0      -0.038285434         3.0533125             0.515	GUN, SOLB, SOLF, SOLM, 
        0.13950663                 0                 0        0.13950663                 0                 0         7.1348947                 0                 0         -38864423                 0                 0      -0.037231028         3.1705604             0.525	GUN, SOLB, SOLF, SOLM, 
        0.14247728                 0                 0        0.14247728                 0                 0         7.3629042                 0                 0         -37791497                 0                 0      -0.036270487         3.2859797             0.535	GUN, SOLB, SOLF, SOLM, 
        0.14544949                 0                 0        0.14544949                 0                 0          7.584619                 0                 0         -36279259                 0                 0      -0.035412253         3.3982748             0.545	GUN, SOLB, SOLF, SOLM, 
        0.14842306                 0                 0        0.14842306                 0                 0         7.7974619                 0                 0         -34325597                 0                 0      -0.034664385         3.5061293             0.555	GUN, SOLB, SOLF, SOLM, 
        0.15139783                 0                 0        0.15139783                 0                 0          7.998843                 0                 0         -31940733                 0                 0      -0.034041279         3.6082197             0.565	GUN, SOLB, SOLF, SOLM, 
        0.15437363                 0                 0        0.15437363                 0                 0         8.1862327                 0                 0         -29154690                 0                 0      -0.033551877         3.7032527             0.575	GUN, SOLB, SOLF, SOLM, 
        0.15735032                 0                 0        0.15735032                 0                 0         8.3572772                 0                 0         -26025143                 0                 0      -0.033220374         3.7900244             0.585	GUN, SOLB, SOLF, SOLM, 
        0.16032776                 0                 0        0.16032776                 0                 0         8.5099613                 0                 0         -22643612                 0                 0      -0.033058633          3.867503             0.595	GUN, SOLB, SOLF, SOLM, 
        0.16330582                 0                 0        0.16330582                 0                 0         8.6428066                 0                 0         -19136199                 0                 0      -0.033106984           3.93493             0.605	GUN, SOLB, SOLF, SOLM, 
        0.16628437                 0                 0        0.16628437                 0                 0         8.7550747                 0                 0         -15655063                 0                 0      -0.033382582         3.9919235             0.615	GUN, SOLB, SOLF, SOLM, 
        0.16926333                 0                 0        0.16926333                 0                 0         8.8469197                 0                 0         -12359470                 0                 0      -0.033951924         4.0385561             0.625	GUN, SOLB, SOLF, SOLM, 
        0.17224259                 0                 0        0.17224259                 0                 0         8.9194302                 0                 0        -9390260.3                 0                 0      -0.034839215         4.0753763             0.635	GUN, SOLB, SOLF, SOLM, 
