                 0         1.375e-07
        0.00017937        0.00365261
       0.000728412         0.0163882
        0.00166347         0.0405752
         0.0029719         0.0776635
        0.00461603          0.127988
        0.00654361          0.190896
        0.00869939          0.265073
         0.0110331          0.348876
         0.0135032          0.440556
         0.0160769          0.538393
         0.0187295          0.640727
         0.0214423          0.745973
         0.0242016          0.852615
         0.0269968          0.959179
         0.0298202           1.06422
         0.0326658           1.16633
          0.035529           1.26409
         0.0384063           1.35614
         0.0412947           1.44114
          0.044192           1.51784
         0.0470964           1.58509
         0.0500063           1.64196
         0.0529203           1.68782
         0.0558375           1.72243
         0.0587567           1.74604
         0.0616772           1.75949
         0.0645984           1.76421
         0.0675197           1.76212
         0.0704406           1.75554
         0.0733611             1.747
          0.076281           1.73897
         0.0792004           1.73378
         0.0821196           1.73342
          0.085039           1.73951
         0.0879591           1.75327
         0.0908804           1.77558
         0.0938035           1.80696
          0.096729           1.84769
         0.0996572           1.89779
          0.102589           1.95712
          0.105523           2.02536
          0.108461           2.10207
          0.111403            2.1867
          0.114349           2.27858
          0.117298           2.37698
           0.12025           2.48107
          0.123205           2.58996
          0.126164           2.70268
          0.129125           2.81821
          0.132088           2.93546
          0.135054           3.05331
          0.138022           3.17056
          0.140992           3.28598
          0.143963           3.39827
          0.146936           3.50613
           0.14991           3.60822
          0.152886           3.70325
          0.155862           3.79002
          0.158839            3.8675
          0.161817           3.93493
          0.164795           3.99192
          0.167774           4.03856
          0.170753           4.07538
          0.173732           4.10335
          0.176712           4.12375
          0.179692           4.13797
          0.182671           4.14738
          0.185651           4.15322
          0.188631            4.1565
          0.191611           4.15804
          0.194591           4.15845
          0.197571           4.15817
          0.200551           4.15749
          0.203531           4.15663
          0.206511           4.15572
          0.209491           4.15483
           0.21247           4.15401
           0.21545           4.15328
           0.21843           4.15266
           0.22141           4.15213
           0.22439           4.15168
           0.22737           4.15132
           0.23035           4.15103
          0.233329           4.15079
          0.236309            4.1506
          0.239289           4.15045
          0.242269           4.15034
          0.245249           4.15025
          0.248229           4.15018
          0.251209           4.15013
          0.254188           4.15009
          0.257168           4.15006
          0.260148           4.15003
          0.263128           4.15002
          0.266108              4.15
          0.269088           4.14999
          0.272068           4.14999
          0.275047           4.14998
          0.278027           4.14998
          0.281007           4.14997
          0.283987           4.14997
          0.286967           4.14997
          0.289947           4.14997
          0.292927           4.14997
